Metric,Segment,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
Sum of Coll_Interest,NON PRIME,,,,,,,,Sum of Coll_Interest,NON PRIME,-3431660.78,-3279251.5799999996,-2937253.39,-2641965.25,-2410694.2,-2181002.42,-1986179.4499999997,-1853830.23,-1736221.6,-1586349.48,-1510387.1500000001,-1455550.62,-1300382.33,-1239941.85,-1159778.1800000002,-1042093.5599999999,-989399.4799999999,-936960.78,-838546.9099999999,-794390.6399999999,-752716.8399999999,-672829.6799999999,-637868.0599999999,-604890.94,-539047.99,-511463.55999999994,-485435.49,-430945.56,-409253.82999999996,-388768.45999999996,-344231.9,-327158.19,-310990.23,-276324.72,-262722.14,-249781.40000000002,-220466.43,-209610.89999999997,-199299.44
,NRP-L,,,,,,,,,NRP-L,-78515.99,-74503.07000000002,-70425.33,-67624.89,-64883.83999999999,-62382.44,-59761.96,-57509.72000000001,-55455.630000000005,-53331.73999999999,-51589.31,-49842.060000000005,-48093.6,-46463.62999999999,-44907.259999999995,-43411.32,-42005.66999999999,-40658.32000000001,-39382.52999999999,-38175.61999999999,-37047.66,-35985.27,-34968.24999999999,-34019.22,-33142.20000000001,-32326.98,-31536.27,-30800.760000000002,-30099.109999999997,-29426.49000000001,-28783.309999999998,-28163.5,-27565.980000000003,-26989.43,-26432.220000000005,-25892.13,-25369.219999999994,-24862.81,-24372.070000000003
,NRP-M,,,,,,,,,NRP-M,-1629695.2000000002,-1646157.3500000003,-1558416.33,-1493730.8299999998,-1441312.9,-1386578.1900000002,-1334220.2299999997,-1281320.83,-1244934.38,-1198789.8399999999,-1152180.8399999999,-1122258.62,-1057872.2000000002,-1045374.2399999999,-1012044.7199999999,-963765.3699999999,-950377.6799999999,-924735.17,-884768.56,-861301.1299999999,-838711.9400000001,-802712.2399999999,-781965.5599999999,-761935.5000000001,-730149.4300000002,-711703.87,-693879.3099999999,-665701.81,-649227.99,-633283.8700000001,-608638.55,-593854.3300000001,-579454.8300000001,-556455.23,-543067.9600000001,-529981.82,-507864.80000000005,-495653.93000000005,-483746.80999999994
,NRP-S,,,,,,,,,NRP-S,-46272.29,-79426.5,-63906.04,-59263.94,-58067.08,-50218.91,-47932.51,-43505.66,-44144.07,-36996.96,-33782.62,-36045.31,-31318.19,-32077.87,-30584.85,-30168.92,-29723.04,-28952.19,-27764.42,-27044.37,-26342.99,-25234.28,-24579.85,-23942.39,-22808.03,-22216.52,-21640.35,-20656.14,-20120.44,-19598.63,-18707.27,-18222.12,-17749.54,-16840.05,-16403.32,-15977.91,-15244.47,-14849.12,-14464.02
,PRIME,,,,,,,,,PRIME,-28091.62,-27629.33,-26975.840000000004,-25127.330000000005,-22873.72,-20370.82,-18080.31,-15928.86,-13964.580000000002,-12229.060000000001,-10673.39,-9250.080000000002,-8048.75,-6997.25,-6080.549999999999,-5290.91,-4606.38,-4014.0499999999997,-3502.32,-3059.66,-2676.9300000000007,-2346.0999999999995,-2059.91,-1812.3100000000002,-1598.0,-1412.5700000000002,-1252.05,-1113.01,-992.53,-888.1199999999999,-797.55,-718.98,-650.93,-591.78,-540.32,-495.56,-457.11,-423.63999999999993,-394.22
Sum of ClosingGBV,NON PRIME,,,,,,,,Sum of ClosingGBV,NON PRIME,110675448.3,103791467.94,95838869.72,89566651.78,83545603.9,76287993.01,70998805.13999999,65991695.580000006,59495679.980000004,55343670.980000004,51613461.370000005,46148933.81,43302842.760000005,40618800.650000006,36217762.3,34077597.47,32039226.249999996,28517426.610000003,26848391.12,25292542.11,22518158.85,21240724.099999998,20047428.08,17825867.56,16843663.740000002,15923864.56,14124078.36,13366326.7,12654948.180000002,11224841.92,10636043.370000001,10081241.79,8973791.36,8509730.75,8070531.569999999,7150861.290000001,6783637.5,6436109.590000001,5716767.81
,NRP-L,,,,,,,,,NRP-L,5356134.590000001,5197880.95,5033242.8,4871227.029999999,4709015.49,4554235.65,4406649.5200000005,4261218.840000001,4123209.96,3992362.039999999,3866675.37,3746878.95,3633513.5600000005,3526096.6800000006,3424147.360000001,3328034.2500000005,3236570.9200000004,3150051.3200000003,3068180.710000001,2991597.29,2919414.76,2850210.88,2785472.0799999996,2725330.3700000006,2669240.5700000003,2614967.3000000003,2564369.99,2516030.27,2469636.4400000004,2425182.9199999995,2382264.24,2340811.4899999998,2300737.1299999994,2261930.0899999994,2224261.2100000004,2187722.92,2152265.25,2117837.6600000006,2084402.8499999996
,NRP-M,,,,,,,,,NRP-M,102756249.22,99438311.71000001,95705301.91000001,92496609.28000002,89412827.46000001,85735009.79999998,82769504.28999999,80001102.28,76549873.00999999,74041368.0,71734583.06,68646146.68,66724090.86000001,64897876.85999999,62147420.839999996,60464006.349999994,58794734.319999985,56221294.51,54699111.050000004,53236488.199999996,50924172.7,49585669.660000004,48295622.32,46258282.03000001,45074094.18,43931308.64,42134149.63,41080663.76,40062002.47,38498563.699999996,37555804.95,36638722.09,35185612.35,34334594.62,33503840.239999995,32112053.009999998,31337671.819999997,30583136.700000007,29277577.279999997
,NRP-S,,,,,,,,,NRP-S,41295869.91,39568702.239999995,37671982.339999996,36060091.3,34513986.7,32728629.050000004,31346131.91,30007904.35,28402205.560000002,27210373.89,26094921.59,24687008.549999997,23767537.449999996,22887386.699999996,21658147.42,20874906.749999996,20127364.759999998,19031224.87,18364955.62,17729864.46,16772266.309999999,16206225.110000003,15667454.950000003,14834340.32,14354630.89,13895706.48,13161784.780000001,12750518.610000001,12356978.640000002,11721854.46,11366856.469999999,11026441.18,10459860.34,10151650.67,9852723.45,9321836.49,9048005.139999999,8782803.57,8293344.12
,PRIME,,,,,,,,,PRIME,3278581.04,2900649.3200000003,2536008.14,2222270.41,1934220.0299999996,1686537.4200000002,1470679.1300000001,1282005.0399999998,1117890.12,975491.04,852019.63,745258.4900000001,652819.68,572900.9099999999,503836.38999999996,444161.70999999996,392579.25999999995,347968.67,309378.17000000004,275985.1,247090.84999999998,222074.5,200413.28,181644.51,165391.71,151304.25,139088.52,128491.95000000001,119294.20000000001,111306.13,104364.38,98344.65,93102.72,88532.60999999999,84549.72,81226.02000000002,78348.72,75809.18,73557.02
Sum of ClosingNBV,NON PRIME,,,,,,,,Sum of ClosingNBV,NON PRIME,93895503.94999999,86448751.07000002,78534639.66,71967178.19,65782491.64999999,59001176.67999999,53790320.61000001,48948723.66,43300639.69,39436188.809999995,36040317.68,31595160.869999997,29062778.29,26718213.39,23366602.310000002,21600895.839999996,19975578.859999996,17503060.89,16249969.01,15139104.750000002,13321873.86,12472709.469999999,11683176.62,10300764.739999998,9725559.68,9187805.7,8121856.45,7680552.130000001,7266702.859999999,6421256.380000001,6080224.46,5759230.18,5106289.250000001,4839028.43,4586334.4399999995,4045011.9199999995,3834815.9799999995,3636101.0700000003,3213966.47
,NRP-L,,,,,,,,,NRP-L,4782450.580000001,4614994.129999999,4441846.22,4271974.739999999,4102109.7700000005,3940350.5900000003,3785675.8299999996,3633849.3100000005,3489378.5199999996,3351867.4899999998,3219711.2199999997,3109287.1800000006,3004654.5800000015,2905345.29,2810836.2400000007,2721669.1800000006,2636686.55,2556214.7399999998,2480028.7300000004,2412404.5100000002,2348619.43,2287455.2899999996,2230306.5300000007,2177286.0700000003,2127980.38,2080251.3799999997,2035832.2999999998,1993454.7700000003,1952830.89,1913965.03,1876489.22,1840339.1400000001,1805437.4100000001,1771682.8499999999,1738952.04,1707243.4100000001,1676512.0499999998,1646711.9200000002,1617809.8699999999
,NRP-M,,,,,,,,,NRP-M,95906601.64,92008187.35999998,87980011.08000001,84442774.24000001,81084456.51,77242363.46999998,74045040.31,71056553.50999999,67514098.99,64812283.17999999,62323027.01000001,59203477.589999996,57120223.800000004,55144447.480000004,52420878.54000001,50615165.76,48837991.97,46337010.85999999,44730418.79000001,43192237.75,40988113.44,39593469.51,38254924.51,36343810.14,35130041.629999995,33974736.35,32339054.85,31289699.869999997,30279346.33,28875474.32,27949443.270000003,27061333.139999997,25833939.64,25049148.68,24286816.16,23140814.369999997,22455783.189999998,21800966.66,20781721.57
,NRP-S,,,,,,,,,NRP-S,37560057.66,35598711.15,33559598.830000006,31811034.449999996,30157750.3,28363511.59,26940737.419999994,25572582.160000004,24011079.09,22802406.0,21675496.85,20332496.59,19406538.57,18524490.169999998,17381848.07,16606042.709999999,15868940.88,14873527.35,14222502.009999998,13604559.869999997,12755068.61,12217339.39,11709893.999999996,10994523.51,10549531.27,10125173.51,9515353.940000001,9149509.33,8804647.89,8297509.359999999,7995527.070000001,7710076.630000002,7275056.540000001,7021027.1,6775168.42,6377622.81,6158652.99,5948545.609999999,5589269.130000001
,PRIME,,,,,,,,,PRIME,2682770.3500000006,2326735.8700000006,1994196.6499999997,1712481.66,1459378.19,1275260.34,1104144.08,965170.9299999999,844217.1999999998,739204.5299999999,648095.57,569309.8400000001,501035.64999999997,441980.11,390920.8599999999,346780.86,308599.03,275546.57999999996,246924.11000000002,222127.19000000003,200645.72999999998,182021.53,165872.28,151856.47,139702.16,129148.84,119980.62999999998,112012.01000000001,105080.43,99046.57999999999,93790.1,89223.70000000001,85235.12,81745.91,78695.25,76175.53,73991.65,72050.19,70313.89000000001
Sum of InterestRevenue,NON PRIME,,,,,,,,Sum of InterestRevenue,NON PRIME,3464997.95,3094693.5199999996,2800512.1900000004,2510564.17,2269179.62,2058453.23,1858684.7699999998,1729004.5599999998,1623194.37,1498029.39,1431238.7,1386041.3,1341794.04,1276053.91,1211327.81,1093033.38,1039471.8600000001,986547.6399999999,886011.94,841655.3699999999,799966.1300000001,718673.6599999999,684046.74,651081.31,582780.34,555078.8699999999,528517.01,470794.39,448557.63,427320.94,379452.77,360775.81999999995,342655.76999999996,303909.38,287721.15,272323.48,240168.81999999998,227729.78000000003,216008.43
,NRP-L,,,,,,,,,NRP-L,76314.71,73083.84999999998,69592.73999999999,66377.20999999999,63477.420000000006,60712.01000000001,58130.23,55691.98000000001,53303.770000000004,51079.46,49118.189999999995,47179.15999999999,45247.079999999994,43493.220000000016,42993.87,41688.509999999995,40511.759999999995,39461.430000000015,38354.48,37339.11999999999,36657.719999999994,35769.04,34934.52000000001,34152.729999999996,33446.44,32752.059999999998,32111.92,31512.409999999996,30894.559999999998,30293.68,29713.24,29134.859999999997,28574.640000000003,28029.73,27487.480000000003,26970.85,26467.49,25978.19,25504.46
,NRP-M,,,,,,,,,NRP-M,1656982.3600000003,1591275.52,1531656.22,1464651.5300000003,1404793.7200000002,1350067.8399999999,1289275.4000000001,1245734.5100000002,1203037.46,1156967.02,1119910.96,1085253.55,1202945.2999999998,1173902.5299999998,1146617.4100000001,1103162.63,1077018.19,1049697.01,1005699.4099999999,981126.03,958008.8299999998,919384.3500000001,898724.48,878516.94,844118.9099999999,825284.38,806844.63,776206.43,759315.43,742549.5,714871.1699999999,698673.41,682896.1,656883.3300000001,642567.29,628479.06,603653.8800000001,590096.66,576792.08
,NRP-S,,,,,,,,,NRP-S,778272.4800000001,736578.3300000001,696896.6799999999,655373.4600000001,619298.0000000001,585701.11,553392.8099999999,531273.96,508461.06000000006,484806.16000000003,469686.09,454701.95999999996,477583.93999999994,462711.95,448143.12,426823.6699999999,413509.27999999997,400641.17,380749.54,369579.36,358828.08999999997,341606.45999999996,331860.35000000003,322674.97000000003,306992.22,298632.55,290471.52,276518.87,269265.89,262277.17000000004,249668.26999999996,242797.35,236155.13,224363.13999999998,218018.41,211906.49000000002,200844.02999999997,195164.7,189653.31
,PRIME,,,,,,,,,PRIME,25622.97,25100.59,24933.07,23665.26,21595.320000000003,19444.709999999995,17328.38,15333.99,13512.220000000003,11867.659999999998,10408.52,9131.530000000002,7866.02,6856.479999999999,5978.4800000000005,5216.37,4555.83,3983.539999999999,3487.77,3058.35,2686.5800000000004,2371.92,2101.9500000000003,1868.3000000000002,1666.0200000000004,1490.92,1339.23,1207.84,1093.96,995.18,909.4899999999999,834.96,770.4999999999999,714.4100000000001,664.58,618.76,582.6700000000001,551.27,523.46
Sum of Gross_Impairment_ExcludingDS,NON PRIME,,,,,,,,Sum of Gross_Impairment_ExcludingDS,NON PRIME,-724320.96,-572026.6099999999,-1008063.82,-303319.22,-170602.0099999998,-723773.52,73021.11,160712.00999999986,-596074.02,283910.22,331094.69000000006,-598599.05,311267.79999999993,337285.2199999999,-479548.94,372803.70999999996,411566.17000000004,-227769.43,414807.1699999999,443957.4000000001,-82280.88,427475.50000000006,403041.99,-29546.329999999994,406434.81000000006,381531.44,-2547.720000000005,316044.93000000005,297160.95,-13586.58,247473.66999999998,233538.14,-4180.140000000002,196583.62,186305.94,-17325.34999999999,156868.38000000003,148665.58,-9411.680000000004
,NRP-L,,,,,,,,,NRP-L,-9998.800000000003,-9237.960000000001,-8544.42,-7874.430000000001,-7662.850000000002,-6989.300000000002,-7099.099999999999,-6404.510000000002,-6468.71,-6667.9299999999985,-6473.41,9369.029999999999,8729.96,8105.250000000001,7438.459999999999,6944.570000000001,6479.549999999999,6046.740000000001,5683.799999999999,8958.519999999999,8396.89,8039.289999999999,7589.699999999999,7120.92,6783.87,6544.05,6178.080000000001,5962.07,5769.82,5587.55,5442.81,5302.64,5172.549999999999,5052.4400000000005,4938.06,4829.61,4726.33,4627.46,4532.71
,NRP-M,,,,,,,,,NRP-M,-876332.41,-584526.5599999999,-677672.4900000001,-331554.48000000004,-276462.95999999996,-635244.15,-233327.81000000003,-221368.15999999997,-670781.47,-194209.61,-183217.44,-729811.0700000002,-161754.02000000002,-150049.99000000002,-752759.1199999999,-122675.47,-108241.27,-686641.5700000002,-84688.03,-75816.98,-598798.1299999999,-56364.39,-48709.16,-494401.37000000005,-29770.119999999995,-12701.910000000003,-383632.52,3962.9900000000016,8144.799999999996,-294396.32,16575.179999999997,28823.85,-216569.84,66085.94,68283.76000000001,-211280.78999999998,89219.01,99590.07999999999,-161713.69
,NRP-S,,,,,,,,,NRP-S,-308955.62,-236072.74999999997,-318924.18,-138025.46000000002,-108348.72,-250482.68,-41392.999999999985,-30958.03999999999,-211142.93000000005,-17726.109999999993,-12293.090000000004,-223938.78999999998,-7232.220000000004,-2604.2799999999843,-230832.75,6810.879999999997,9845.070000000003,-200866.49000000002,14715.329999999998,16644.72999999998,-168308.92,27861.879999999983,30894.719999999998,-132931.65,34331.73,34198.01999999999,-107753.8,45091.3,48362.36999999999,-75181.01,52731.04000000001,54691.729999999996,-56395.81999999999,53934.64,52832.67000000001,-55588.899999999994,54649.200000000004,54890.1,-52651.259999999995
,PRIME,,,,,,,,,PRIME,5457.97,21676.7,31892.62,31977.01,34903.729999999996,63524.100000000006,44703.880000000005,49674.5,43143.350000000006,37376.15,32354.26,27969.04,24159.899999999998,20859.95,18003.0,15533.09,13399.449999999999,11557.26,9967.41,8595.72,7412.47,6391.93,5511.81,4752.849999999999,4098.39,3534.0699999999997,3047.48,2627.92,2266.15,1954.22,1685.25,1453.33,1253.35,1080.91,932.21,803.99,693.43,598.08,515.86
Sum of Net_Impairment,NON PRIME,,,,,,,,Sum of Net_Impairment,NON PRIME,-724320.96,-572026.6099999999,-975025.1900000001,-303319.22,-170602.0099999998,-685747.99,73021.11,160712.00999999986,-550224.48,283910.22,331094.69000000006,-547163.5700000001,311267.79999999993,337285.2199999999,-430918.12,372803.70999999996,411566.17000000004,-187141.72,414807.1699999999,443957.4000000001,-49207.55999999998,427475.50000000006,403041.99,-1901.7399999999943,406434.81000000006,381531.44,20889.07999999999,316044.93000000005,297160.95,5455.099999999997,247473.66999999998,233538.14,10419.93,196583.62,186305.94,-4730.2000000000035,156868.38000000003,148665.58,348.8899999999978
,NRP-L,,,,,,,,,NRP-L,-9998.800000000003,-9237.960000000001,-8544.42,-7874.430000000001,-7662.850000000002,-6989.300000000002,-7099.099999999999,-6404.510000000002,-6468.71,-6667.9299999999985,-6473.41,9369.029999999999,8729.96,8105.250000000001,7438.459999999999,6944.570000000001,6479.549999999999,6046.740000000001,5683.799999999999,8958.519999999999,8396.89,8039.289999999999,7589.699999999999,7120.92,6783.87,6544.05,6178.080000000001,5962.07,5769.82,5587.55,5442.81,5302.64,5172.549999999999,5052.4400000000005,4938.06,4829.61,4726.33,4627.46,4532.71
,NRP-M,,,,,,,,,NRP-M,-876332.41,-584526.5599999999,-665601.9700000001,-331554.48000000004,-276462.95999999996,-620308.46,-233327.81000000003,-221368.15999999997,-652358.8600000001,-194209.61,-183217.44,-707580.4799999999,-161754.02000000002,-150049.99000000002,-727943.3,-122675.47,-108241.27,-662476.2100000001,-84688.03,-75816.98,-576290.23,-56364.39,-48709.16,-474642.57999999996,-29770.119999999995,-12701.910000000003,-366277.9,3962.9900000000016,8144.799999999996,-279943.93,16575.179999999997,28823.85,-202488.90000000002,66085.94,68283.76000000001,-196728.9,89219.01,99590.07999999999,-147449.29
,NRP-S,,,,,,,,,NRP-S,-308955.62,-236072.74999999997,-313349.83,-138025.46000000002,-108348.72,-242824.1,-41392.999999999985,-30958.03999999999,-203041.68000000002,-17726.109999999993,-12293.090000000004,-214765.11,-7232.220000000004,-2604.2799999999843,-220744.88,6810.879999999997,9845.070000000003,-191279.7,14715.329999999998,16644.72999999998,-159521.17,27861.879999999983,30894.719999999998,-124961.45,34331.73,34198.01999999999,-100381.08,45091.3,48362.36999999999,-68720.39,52731.04000000001,54691.729999999996,-50418.3,53934.64,52832.67000000001,-49579.23,54649.200000000004,54890.1,-46834.76
,PRIME,,,,,,,,,PRIME,5457.97,21676.7,31892.62,31977.01,34903.729999999996,63524.100000000006,44703.880000000005,49674.5,43143.350000000006,37376.15,32354.26,27969.04,24159.899999999998,20859.95,18003.0,15533.09,13399.449999999999,11557.26,9967.41,8595.72,7412.47,6391.93,5511.81,4752.849999999999,4098.39,3534.0699999999997,3047.48,2627.92,2266.15,1954.22,1685.25,1453.33,1253.35,1080.91,932.21,803.99,693.43,598.08,515.86
9883232.859999975,10898384.079999978,9600167.509999994,9976959.459999999,10000095.179999994,10224285.059999999,9555652.870000003,10678473.580000006,10360307.549999991,9883232.859999975,10898384.079999978,10606474.41999999,10276215.850000022,10690255.730000006,10439606.059999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2879828.6399999987,3156787.970000001,3253845.9000000013,3292062.48,3423156.560000002,3307376.58,3087647.599999999,3222982.5600000015,3089441.7799999993,2879828.6399999987,3156787.970000001,3045807.1100000013,2890413.9199999995,3176606.870000002,3046712.2499999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4415509.010000001,4748316.630000003,3586600.030000001,3686802.13,3770701.83,4005796.539999998,3927089.990000002,4452881.26,4373879.629999997,4415509.010000001,4748316.630000003,4796696.83,4701119.2600000035,4961318.700000002,5376778.800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292477.83,301396.2200000001,524530.8899999998,529407.9300000002,452438.47000000003,494132.40999999974,387474.3600000001,387218.26999999996,358648.61,292477.83,301396.2200000001,300551.9400000002,236863.82,247608.24000000005,232758.73000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17471048.339999974,19104884.89999998,16965144.33,17485232.0,17646392.039999995,18031590.589999996,16957864.820000004,18741555.670000006,18182277.569999985,17471048.339999974,19104884.89999998,18749530.299999993,18104612.850000024,19075789.54000001,19095855.83999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0830233273671953,0.0908317053992205,0.09354753243597368,0.09535425801057554,0.09541099467095274,0.09660693336719806,0.0869662257098833,0.09559577499511385,0.0905655349220453,0.0830233273671953,0.0908317053992205,0.08712804271207902,0.08178649065503094,0.08554472404061708,0.09247671986410377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06779214091254702,0.07475658089493196,0.07450218384017956,0.07436083524775014,0.07776026475200126,0.07608272269990556,0.07131171717174098,0.07546116782639438,0.07319449540207561,0.06779214091254702,0.07475658089493196,0.07171252002654054,0.0661469246221514,0.0720870399240612,0.07045097729717163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.041386070338443263,0.04304209239801197,0.044525353405506625,0.044423887112847935,0.043950140989502964,0.044674142254141395,0.041425922536769154,0.045332514750916264,0.042916778856007066,0.041386070338443263,0.04304209239801197,0.04207411224522556,0.03995605789956437,0.04153204038495877,0.053691251228688494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
