ForecastMonth,Cohort,Segment,OpeningGBV,Coll_Principal,Coll_Interest,Total_Collections,v32_Coll_P_Rate,v32_Coll_I_Rate,ScenA_Revenue,PQ_Revenue_Rate,ScenB_Revenue,v32_Rev_Rate
2025-10-31,201912,NON PRIME,387941.62,14372.36,4506.83,18879.190000000002,0.03704773929644363,0.011617289219960468,0.0,0.0,0.0,0.0
2025-10-31,201912,NRP-S,60918.42,-792.01,0.0,-792.01,-0.013001157942047743,0.0,507.65349999999796,0.0083333333333333,0.0,0.0
2025-10-31,202001,NON PRIME,98748.52,3145.46,916.14,4061.6,0.03185323688901869,0.009277506133762815,822.9043333333301,0.0083333333333333,0.0,0.0
2025-10-31,202001,NRP-S,4571.87,-1224.79,0.0,-1224.79,-0.26789694370137385,0.0,38.09891666666651,0.0083333333333333,0.0,0.0
2025-10-31,202101,NON PRIME,832148.9,-3370.79,4161.57,790.7799999999997,-0.004050705348525967,0.005000992009963601,6934.574166666639,0.0083333333333333,0.0,0.0
2025-10-31,202101,NRP-M,3035583.9,-373998.55,-32838.09,-406836.64,-0.123204814072179,-0.010817717803813624,30987.601764138763,0.010208119025845,29007.12,0.009555697011042917
2025-10-31,202101,NRP-M,3035583.9,-373998.55,-32838.09,-406836.64,-0.123204814072179,-0.010817717803813624,34476.28132135048,0.0113573804767348,29007.12,0.009555697011042917
2025-10-31,202101,NRP-M,3035583.9,-373998.55,-32838.09,-406836.64,-0.123204814072179,-0.010817717803813624,36372.794306550706,0.0119821409998092,29007.12,0.009555697011042917
2025-10-31,202101,NRP-M,3035583.9,-373998.55,-32838.09,-406836.64,-0.123204814072179,-0.010817717803813624,37499.82334235368,0.0123534135697431,29007.12,0.009555697011042917
2025-10-31,202101,NRP-S,2237190.62,-232095.91,0.0,-232095.91,-0.1037443604157432,0.0,23819.26185674324,0.0106469523176989,23070.93,0.01031245607493205
2025-10-31,202101,NRP-S,2237190.62,-232095.91,0.0,-232095.91,-0.1037443604157432,0.0,19887.592738974043,0.008889538764012,23070.93,0.01031245607493205
2025-10-31,202101,NRP-S,2237190.62,-232095.91,0.0,-232095.91,-0.1037443604157432,0.0,18643.255166666593,0.0083333333333333,23070.93,0.01031245607493205
2025-10-31,202101,PRIME,3441726.03,-351746.31,-26304.07,-378050.38,-0.1022005548768215,-0.007642697231191293,28681.050249999884,0.0083333333333333,23719.49,0.0068917426294968645
2025-10-31,202101,PRIME,3441726.03,-351746.31,-26304.07,-378050.38,-0.1022005548768215,-0.007642697231191293,32144.78546401279,0.0093397281433272,23719.49,0.0068917426294968645
2025-10-31,202101,PRIME,3441726.03,-351746.31,-26304.07,-378050.38,-0.1022005548768215,-0.007642697231191293,36185.465039955554,0.0105137552276221,23719.49,0.0068917426294968645
2025-10-31,202101,PRIME,3441726.03,-351746.31,-26304.07,-378050.38,-0.1022005548768215,-0.007642697231191293,38359.413055579935,0.0111453999305052,23719.49,0.0068917426294968645
2025-10-31,202201,NON PRIME,1301210.18,-143033.95,-17654.2,-160688.15000000002,-0.1099237864862078,-0.013567523733944351,13267.117852058916,0.01019598375111,13218.09,0.010158305094108625
2025-10-31,202201,NON PRIME,1301210.18,-143033.95,-17654.2,-160688.15000000002,-0.1099237864862078,-0.013567523733944351,10843.418166666623,0.0083333333333333,13218.09,0.010158305094108625
2025-10-31,202201,NRP-M,194456.57,-14040.25,-2365.8,-16406.05,-0.07220249745225887,-0.012166212743544742,2189.8642195374896,0.0112614565789034,2343.18,0.01204988856894884
2025-10-31,202201,NRP-M,194456.57,-14040.25,-2365.8,-16406.05,-0.07220249745225887,-0.012166212743544742,2302.0084421185256,0.0118381623316637,2343.18,0.01204988856894884
2025-10-31,202201,NRP-M,194456.57,-14040.25,-2365.8,-16406.05,-0.07220249745225887,-0.012166212743544742,2350.5393300040164,0.0120877341917736,2343.18,0.01204988856894884
2025-10-31,202201,NRP-M,194456.57,-14040.25,-2365.8,-16406.05,-0.07220249745225887,-0.012166212743544742,2375.816516147912,0.0122177230429803,2343.18,0.01204988856894884
2025-10-31,202201,NRP-S,469898.68,-42188.64,0.0,-42188.64,-0.08978241862692612,0.0,4612.575372436444,0.0098161062560049,4827.81,0.010274151014852819
2025-10-31,202201,NRP-S,469898.68,-42188.64,0.0,-42188.64,-0.08978241862692612,0.0,3915.8223333333176,0.0083333333333333,4827.81,0.010274151014852819
2025-10-31,202201,PRIME,114921.47,-8020.01,-1075.58,-9095.59,-0.06978687272273841,-0.009359260719515683,1023.9632682193607,0.0089101128641964,1014.58,0.0088284634716211
2025-10-31,202201,PRIME,114921.47,-8020.01,-1075.58,-9095.59,-0.06978687272273841,-0.009359260719515683,960.7086221786408,0.0083596966013282,1014.58,0.0088284634716211
2025-10-31,202201,PRIME,114921.47,-8020.01,-1075.58,-9095.59,-0.06978687272273841,-0.009359260719515683,957.6789166666629,0.0083333333333333,1014.58,0.0088284634716211
2025-10-31,202301,NON PRIME,7243912.09,-608350.13,-122513.84,-730863.97,-0.08398088249025121,-0.01691266245060133,111906.02525718986,0.0154482859353957,110220.66,0.015215626395046438
2025-10-31,202301,NON PRIME,7243912.09,-608350.13,-122513.84,-730863.97,-0.08398088249025121,-0.01691266245060133,98026.94907933704,0.013532321742924,110220.66,0.015215626395046438
2025-10-31,202301,NON PRIME,7243912.09,-608350.13,-122513.84,-730863.97,-0.08398088249025121,-0.01691266245060133,97988.55832960081,0.0135270220168562,110220.66,0.015215626395046438
2025-10-31,202301,NON PRIME,7243912.09,-608350.13,-122513.84,-730863.97,-0.08398088249025121,-0.01691266245060133,100117.74610079378,0.0138209499034373,110220.66,0.015215626395046438
2025-10-31,202301,NRP-L,1160678.27,-36913.86,-12981.04,-49894.9,-0.03180369698831357,-0.011184012258625295,12008.559083856813,0.0103461565484954,12101.7,0.010426403520072795
