Cohort,Segment,StartingGBV,PQ_Coll_Rate,PQ_Revenue_Rate,PQ_Principal_Rate,PQ_Interest_Rate,Actual_Coll_Rate,Actual_Revenue_Rate,Actual_Principal_Rate,Actual_Interest_Rate
201912,NRP-S,60918.41999999999,-0.0040507218267277,0.0083333333333333,0.0,-0.0040507218267277,-0.0040507218267277,0.0083333333333333,0.0,-0.0040507218267277
202001,NON PRIME,98748.52000000002,0.0,0.0083333333333333,0.0,0.0,0.05,0.0,0.05,0.0010508492373926968
202001,NRP-S,4571.870000000001,0.0,0.0083333333333333,0.0,0.0,-0.2,0.0,-0.2,0.0
202101,NON PRIME,832148.8999999999,0.0,0.0083333333333333,0.0,0.0,-0.03752849590741766,0.0,-0.016023695747266562,-0.021504800160151095
202101,NRP-M,3035583.9,-0.07313923,0.010208119025845,-0.07313923,0.0,-0.1598702453155309,0.012118949834665797,-0.1463978250260481,-0.013472420289482824
202101,NRP-S,2237190.62,-0.07403968,0.0106469523176989,-0.07403968,0.0,-0.09162806892041217,0.01112411099908333,-0.0811607575612272,-0.010467311359184966
202101,PRIME,3441726.03,-0.068605779,0.0083333333333333,-0.068605779,0.0,-0.068605779,0.0083333333333333,-0.068605779,0.0
202201,NON PRIME,1301210.18,-0.1082262623405376,0.01019598375111,-0.094739375,-0.0134868873405376,-0.007438139101031891,0.0,-0.017789541188130358,0.010351402087098466
202201,NRP-M,194456.57,-0.0836394204669089,0.0112614565789034,-0.071473967,-0.0121654534669089,-0.06719440709767509,0.011763679724651994,-0.05695714733339175,-0.010237259764283338
202201,NRP-S,469898.68,-0.0128309411161618,0.0098161062560049,-0.002,-0.0108309411161618,-0.06826660913817925,0.013096443922661915,-0.055806926384036365,-0.012459682754142887
202201,PRIME,114921.47,-0.1192995707286759,0.0089101128641964,-0.1100105139999999,-0.0092890567286759,-0.08747331995880536,0.008048913342230577,-0.07949130180498803,-0.007982018153817329
202301,NON PRIME,7243912.09,-0.076308978,0.0154482859353957,-0.076308978,0.0,-0.09643193512773807,0.017501384061326303,-0.07752877534247413,-0.018903159785263947
202301,NRP-L,1160678.27,-0.03717244,0.0103461565484954,-0.03717244,0.0,-0.03717244,0.0103461565484954,-0.03717244,0.0
202301,NRP-M,11951897.25,-0.038675193,0.013627184982623,-0.038675193,0.0,-0.038675193,0.013627184982623,-0.038675193,0.0
202301,NRP-S,4875102.47,-0.091882725,0.0150574820476038,-0.061882725,-0.03,-0.1462078823570138,0.01589226565522304,-0.1299317162689731,-0.016276166088040705
202404,NON PRIME,1439613.0899999996,-0.1119830695046885,0.0203782482127001,-0.089870411,-0.0221126585046885,-0.09236001613015477,0.024307897237381918,-0.06668909241634279,-0.025670923713811973
202404,NRP-L,312423.2,-0.0826038022790139,0.0130320640429038,-0.068010122,-0.0145936802790139,-0.04163430531752503,0.014528874086018306,-0.02707031604783176,-0.014563989269693269
202404,NRP-M,2980564.9000000004,-0.0604239822443808,0.0144491601159043,-0.045967313,-0.0144566692443808,-0.04880232555670008,0.015247139560996603,-0.033818562541342995,-0.014983763015357086
202404,NRP-S,1135465.04,-0.0639370103702509,0.0157142983056292,-0.0477141361728248,-0.0162228741974261,-0.06408834614757575,0.01702331876668314,-0.046722581345315595,-0.017365764802260153
202405,NON PRIME,1749500.3,-0.0810663606936178,0.0204444422858944,-0.059240555826335,-0.0218258048672827,-0.08673726268424403,0.024392411882842847,-0.06134380959126335,-0.025393453092980686
202405,NRP-L,474179.94,-0.0442535623173908,0.0128960340264595,-0.0318561992740417,-0.012397363043349,-0.045221105783589954,0.014112903509945575,-0.0310853213148368,-0.014135784468753151
202405,NRP-M,2724042.47,-0.0408609402585875,0.0144698485913142,-0.0261015663293081,-0.0147593739292793,-0.04661227871513107,0.015768377209545603,-0.03080297544242399,-0.015809303272707086
202405,NRP-S,1006382.04,-0.0679712499832551,0.0162944280018955,-0.0510894117872631,-0.0168818381959919,-0.06965796720617502,0.01767001252056125,-0.051640405369095,-0.01801756183708002
202405,PRIME,4824.29,-0.0261807671278858,0.0100747872586797,-0.0161468970215886,-0.0100338701062972,-0.02592515685311795,0.0102004498429043,-0.015597788434108107,-0.01032736841900984
