CalendarMonth,Segment,Cohort,MOB,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,WO_DebtSold,WO_Other,ClosingGBV_Reported,Provision_Balance,Coll_Principal_Rate,Coll_Interest_Rate,InterestRevenue_Rate_Annual,WO_DebtSold_Rate,WO_Other_Rate,Coverage_Ratio,GBV_Runoff_Rate,DataType
2020-04-30,NON PRIME,202001,1,7814581.620000001,-336044.08,-335904.35,309930.116054,0.0,338.25,7454085.27,0.0,-0.04300218442148666,-0.0429843037457455,0.4825359303100263,0.0,4.328446696804735e-05,0.0,0.04613124125255492,Actual
2020-04-30,NON PRIME,202001,2,6403968.16,-269751.69,-248742.22,262818.430039,0.0,109.48,6146640.86,0.0,-0.04212258450704102,-0.03884188893281443,0.499319195887627,0.0,1.709565026944169e-05,0.0,0.04018247648501735,Actual
2020-04-30,NON PRIME,202001,3,9802510.29,-404493.52,-357814.64,407139.453654,0.0,0.0,9448812.82,0.0,-0.04126427905030029,-0.036502347808298,0.5053328048541126,0.0,0.0,0.0,0.03608233600742273,Actual
2020-04-30,NRP-M,202001,1,208122.16,-2116.46,-3454.36,2442.397149,0.0,0.0,204993.7,0.0,-0.01016931594405901,-0.016597752012568,0.1427807206089923,0.0,0.0,0.0,0.01503184475886658,Actual
2020-04-30,NRP-S,201912,4,37790167.28,-1693043.24,-563841.0700000001,591503.729386,0.0,3210.12,36110370.78,0.0,-0.04480115759889804,-0.0149203115673533,0.19043654012451,0.0,8.494590606638881e-05,0.0,0.04445062355913446,Actual
2020-04-30,NRP-S,202001,1,2759016.43,-126324.42,-48654.89000000001,41426.84073,0.0,0.0,2626137.47,0.0,-0.04578603397443341,-0.0176348677996093,0.1826834217928162,0.0,0.0,0.0,0.04816171391918821,Actual
2020-04-30,NRP-S,202001,2,3806222.2,-137052.55,-58339.79,56908.87442,0.0,0.0,3667923.83,0.0,-0.03600750108598495,-0.0153274787793524,0.1819103743978303,0.0,0.0,0.0,0.03633481250779307,Actual
2020-04-30,NRP-S,202001,3,5273575.91,-225908.11,-79028.6,80421.90951999999,0.0,0.0,5049620.23,0.0,-0.04283774688283571,-0.01498577082206066,0.1855413826453607,0.0,0.0,0.0,0.04246751802232057,Actual
2020-05-31,NON PRIME,201912,5,115916794.86,-4518255.76,-2433951.540000001,3954892.719338,0.0,7985.92,112286206.26,0.0,-0.0389784393664178,-0.0209974019980421,0.4017163552255984,0.0,6.889355429163736e-05,0.0,0.03132064343553394,Actual
2020-05-31,NON PRIME,202001,0,0.0,-1583.43,-30.02,2923.610333,0.0,0.0,180566.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Actual
2020-05-31,NON PRIME,202001,2,7454085.27,-314476.5,-221476.92,302070.308344,0.0,88.47,7222750.45,0.0,-0.04218847633332749,-0.02971215272937172,0.4771389307789909,0.0,1.186865950622537e-05,0.0,0.03103463558849245,Actual
2020-05-31,NON PRIME,202001,3,6146640.86,-266347.94,-195811.73,256253.755483,0.0,93.53,5942150.13,0.0,-0.0433322762898498,-0.03185670587560568,0.4908666999226472,0.0,1.521644132629542e-05,0.0,0.03326869661944108,Actual
2020-05-31,NON PRIME,202001,4,9448812.82,-454194.28,-285103.02,393967.619843,0.0,190.45,9104084.18,0.0,-0.04806892555206739,-0.03017342235804815,0.4909242140991921,0.0,2.015597129799e-05,0.0,0.03648380453365787,Actual
2020-05-31,NRP-M,202001,2,204993.7,-562.78,-530.28,2481.583767,0.0,0.0,206382.27,0.0,-0.002745352662057419,-0.002586811204441892,0.1425343685156839,0.0,0.0,0.0,-0.00677372036311349,Actual
2020-05-31,NRP-S,201912,5,36110370.78,-1501788.22,-433204.36,577404.62754,0.0,213.65,34740714.46,0.0,-0.04158883410944583,-0.01199667438031219,0.1882692892246819,0.0,5.916582837148037e-06,0.0,0.0379297218614713,Actual
