Cohort,Segment,ForecastMonth,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,ClosingGBV,Principal_Rate,Interest_Rate,Revenue_Rate
202412,NRP-L,2025-11-01,51042.59967264699,-1077.629059973695,-777.132430585433,632.1112648567057,49187.83818208786,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2025-12-01,49187.83818208786,-1038.4706923677097,-748.8933652839276,609.1419090769466,47400.47412443622,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2026-01-01,47400.47412443622,-1000.7352427309218,-721.6804375848666,587.0072027240678,45678.058444120434,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2026-02-01,45678.058444120434,-964.3710057530524,-695.4563601925158,565.6768167077598,44018.23107817486,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2026-03-01,44018.23107817486,-929.3281549665735,-670.1852007389987,545.1215240216414,42418.717722469286,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2026-04-01,42418.717722469286,-895.5586744742218,-645.8323325495782,525.3131596962628,40877.32671544548,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2026-05-01,40877.32671544548,-863.0162931573647,-622.3643871970052,506.2245822073168,39391.94603509111,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2026-06-01,39391.94603509111,-831.6564212750718,-599.7492087799264,487.82963628618126,37960.54040503611,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2026-07-01,37960.54040503611,-801.4360893670197,-577.9558098626994,470.10311708183224,36581.14850580639,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2026-08-01,36581.14850580639,-772.313889376512,-556.9543290162468,453.02073562502636,35251.88028741363,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2026-09-01,35251.88028741363,-744.2499179129438,-536.7159899017695,436.5590855474276,33970.914379598915,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2026-10-01,33970.914379598915,-717.205721575968,-517.213061841258,420.69561101007974,32736.495596181685,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
202412,NRP-L,2026-11-01,32736.495596181685,-691.1442442664445,-498.4188218207712,405.40857579727714,31546.93253009447,-0.0211123466846298,-0.0152251733957408,0.0123839943284755
