Cohort,Segment,GBV,Coll_P,Coll_I,Coll_P_Rate,Coll_I_Rate
202502,NRP-S,2387772.2100000004,-121328.55866428815,-43062.123517580585,-0.0508124511023973,-0.018034435335680776
202503,NON PRIME,7538149.369999999,-410276.59503526066,-263561.5078678359,-0.05442670009539234,-0.03496368868952725
202503,NRP-L,83860.81,-824.5471986751265,-1014.9466929685681,-0.009832330485182847,-0.012102753276155669
202503,NRP-M,6162266.5200000005,-143582.76095259172,-106935.47138576802,-0.023300316610225375,-0.017353269456733593
202503,NRP-S,2647482.4199999995,-127952.80725344438,-58643.78510631917,-0.048329993161368906,-0.02215077413292859
202504,NON PRIME,9246422.14,-496228.0791049992,-373459.2009660587,-0.053667037,-0.04038959019083447
202504,NRP-L,62697.2,-795.6098500868,-1048.4477094258493,-0.012689719,-0.01672240083170938
202504,NRP-M,7795952.799999999,-157490.5563694712,-137921.68162144924,-0.020201579,-0.017691446467127055
202504,NRP-S,2373847.23,-139301.79455072008,-54854.99731871809,-0.05868186999999999,-0.023108057092080896
202504,PRIME,4661.92,0.0,-48.63962469482847,0.0,-0.010433388967384355
202505,NON PRIME,9953254.19,-465405.77533111785,-342054.853516324,-0.046759157,-0.03436613262223177
202505,NRP-L,16425.98,-195.83553442453186,-258.2922609593063,-0.011922304448473203,-0.01572461801118145
202505,NRP-M,7268939.299999999,-199895.83074999996,-120664.39237999998,-0.0275,-0.0166
202505,NRP-S,2437021.07,-120632.542965,-52639.655112,-0.0495,-0.0216
202506,NON PRIME,10973736.760000002,-496802.8130714584,-381054.14398431696,-0.045271982,-0.03472419216153285
202506,NRP-L,29971.3,-391.5266239166172,-501.77551535102907,-0.01306338476864925,-0.01674186689769977
202506,NRP-M,7085059.32,-142409.692332,-115486.46691599999,-0.0201,-0.0163
202506,NRP-S,2767480.4099999997,-148890.44605799997,-62821.805306999995,-0.053799999999999994,-0.0227
202507,NON PRIME,13508660.829999998,-588977.6121879999,-553855.0940299999,-0.0436,-0.041
202507,NRP-L,114199.52,-1313.29448,-2112.69112,-0.0115,-0.0185
202507,NRP-M,8680064.72,-141485.054936,-149297.11318400002,-0.0163,-0.0172
202507,NRP-S,3125154.64,-124381.15467200002,-74691.195896,-0.0398,-0.0239
202507,PRIME,9843.27,-115.16625900000001,-114.181932,-0.0117,-0.0116
202508,NON PRIME,10582346.66,-519593.221006,-347100.970448,-0.0491,-0.0328
202508,NRP-L,46868.77,-707.718427,-707.718427,-0.015100000000000002,-0.015100000000000002
202508,NRP-M,7533596.42,-149918.568758,-91909.87632400001,-0.0199,-0.012200000000000003
202508,NRP-S,3257214.8600000003,-129962.872914,-59607.03193800001,-0.0399,-0.0183
202508,PRIME,30052.62,-228.399912,-117.20521799999999,-0.0076,-0.0039
202509,NON PRIME,11481431.49,-206665.76682,-42481.296513,-0.018,-0.0037
202509,NRP-L,15353.37,-299.390715,-138.18033,-0.0195,-0.009
202509,NRP-M,8727304.43,-112582.227147,-13963.687088,-0.0129,-0.0016
202509,NRP-S,3314123.2199999997,-55677.27009599999,-8285.30805,-0.0168,-0.0025
202509,PRIME,24414.84,-183.1113,-107.425296,-0.0075,-0.0044
