Cohort,Segment,ForecastMonth,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,ClosingGBV,Principal_Rate,Interest_Rate,Revenue_Rate
201912,NRP-S,2025-10-01,60918.41999999999,0.0,-246.76357354376523,507.6534999999979,60671.656426456226,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2025-11-01,60671.656426456226,0.0,-245.76400295037018,505.5971368871332,60425.89242350586,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2025-12-01,60425.89242350586,0.0,-244.76848133939515,503.5491035292135,60181.123942166465,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2026-01-01,60181.123942166465,0.0,-243.77699230953868,501.50936618471854,59937.346949856925,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2026-02-01,59937.346949856925,0.0,-242.7895195259364,499.47789124880575,59694.55743033099,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2026-03-01,59694.55743033099,0.0,-241.80604671989198,497.4546452527563,59452.7513836111,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2026-04-01,59452.7513836111,0.0,-240.82655768860897,495.4395948634239,59211.92482592249,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2026-05-01,59211.92482592249,0.0,-239.85103629492403,493.43270688268547,58972.07378962757,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2026-06-01,58972.07378962757,0.0,-238.8794664670409,491.43394824689443,58733.194323160526,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2026-07-01,58733.194323160526,0.0,-237.9118321982658,489.4432860263358,58495.28249096226,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2026-08-01,58495.28249096226,0.0,-236.9481175467435,487.46068742468356,58258.33437341551,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2026-09-01,58258.33437341551,0.0,-235.98830663519487,485.4861197784607,58022.346066780316,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2026-10-01,58022.346066780316,0.0,-235.03238365065516,483.5195505565007,57787.31368312966,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2026-11-01,57787.31368312966,0.0,-234.08033284421361,481.5609473594119,57553.233350285445,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2026-12-01,57553.233350285445,0.0,-233.13213853075388,479.6102779190435,57320.10121175469,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2027-01-01,57320.10121175469,0.0,-232.18778508869565,477.6675100979539,57087.913426666,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2027-02-01,57087.913426666,0.0,-231.24725695973729,475.7326118888814,56856.66616970626,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2027-03-01,56856.66616970626,0.0,-230.3105386485996,473.80555141421695,56626.35563105766,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2027-04-01,56626.35563105766,0.0,-229.3776147227703,471.88629692547863,56396.97801633489,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2027-05-01,56396.97801633489,0.0,-228.44846981225004,469.9748168027889,56168.529546522645,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2027-06-01,56168.529546522645,0.0,-227.523088609299,468.0710795543535,55941.00645791335,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2027-07-01,55941.00645791335,0.0,-226.60145586818484,466.1750538159427,55714.40500204516,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2027-08-01,55714.40500204516,0.0,-225.6835564049313,464.2867083503745,55488.72144564023,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2027-09-01,55488.72144564023,0.0,-224.76937509706832,462.40601204700005,55263.952070543164,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2027-10-01,55263.952070543164,0.0,-223.8588968833827,460.5329339211912,55040.093173659785,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2027-11-01,55040.093173659785,0.0,-222.95210676367,458.66744311382973,54817.14106689612,0.0,-0.0040507218267277,0.0083333333333333
201912,NRP-S,2027-12-01,54817.14106689612,0.0,-222.0489897984875,456.8095088907992,54595.09207709763,0.0,-0.0040507218267277,0.0083333333333333
202001,NON PRIME,2025-10-01,98748.52000000002,4937.426000000001,103.76980693564792,0.0,103789.71580693567,0.05,0.0010508492373926,0.0
202001,NON PRIME,2025-11-01,103789.71580693567,5189.485790346784,109.06734370491301,0.0,109088.26894098736,0.05,0.0010508492373926,0.0
202001,NON PRIME,2025-12-01,109088.26894098736,5454.413447049368,114.63532422511541,0.0,114657.31771226185,0.05,0.0010508492373926,0.0
202001,NON PRIME,2026-01-01,114657.31771226185,5732.865885613093,120.4875548794114,0.0,120510.67115275435,0.05,0.0010508492373926,0.0
202001,NON PRIME,2026-02-01,120510.67115275435,6025.533557637718,126.6385468785423,0.0,126662.84325727062,0.05,0.0010508492373926,0.0
202001,NON PRIME,2026-03-01,126662.84325727062,6333.142162863532,133.10355224288125,0.0,133129.08897237704,0.05,0.0010508492373926,0.0
202001,NON PRIME,2026-04-01,133129.08897237704,6656.454448618852,139.898601621394,0.0,139925.44202261727,0.05,0.0010508492373926,0.0
202001,NON PRIME,2026-05-01,139925.44202261727,6996.272101130864,147.0405440412898,0.0,147068.7546677894,0.05,0.0010508492373926,0.0
202001,NON PRIME,2026-06-01,147068.7546677894,7353.437733389471,154.54708868692586,0.0,154576.7394898658,0.05,0.0010508492373926,0.0
202001,NON PRIME,2026-07-01,154576.7394898658,7728.836974493291,162.43684881156005,0.0,162468.01331317067,0.05,0.0010508492373926,0.0
202001,NON PRIME,2026-08-01,162468.01331317067,8123.400665658533,170.72938789083616,0.0,170762.14336672003,0.05,0.0010508492373926,0.0
202001,NON PRIME,2026-09-01,170762.14336672003,8538.107168336002,179.44526813244354,0.0,179479.69580318846,0.05,0.0010508492373926,0.0
202001,NON PRIME,2026-10-01,179479.69580318846,8973.984790159424,188.6061014622364,0.0,188642.28669481011,0.05,0.0010508492373926,0.0
202001,NON PRIME,2026-11-01,188642.28669481011,9432.114334740507,198.2346031132374,0.0,198272.63563266385,0.05,0.0010508492373926,0.0
202001,NON PRIME,2026-12-01,198272.63563266385,9913.631781633194,208.35464795040565,0.0,208394.62206224745,0.05,0.0010508492373926,0.0
202001,NON PRIME,2027-01-01,208394.62206224745,10419.731103112374,218.99132967083182,0.0,219033.34449503064,0.05,0.0010508492373926,0.0
202001,NON PRIME,2027-02-01,219033.34449503064,10951.667224751533,230.17102302615356,0.0,230215.18274280833,0.05,0.0010508492373926,0.0
202001,NON PRIME,2027-03-01,230215.18274280833,11510.759137140418,241.92144922147816,0.0,241967.8633291702,0.05,0.0010508492373926,0.0
202001,NON PRIME,2027-04-01,241967.8633291702,12098.39316645851,254.27174465297537,0.0,254320.5282402817,0.05,0.0010508492373926,0.0
202001,NON PRIME,2027-05-01,254320.5282402817,12716.026412014086,267.2525331545832,0.0,267303.80718545034,0.05,0.0010508492373926,0.0
202001,NON PRIME,2027-06-01,267303.80718545034,13365.190359272518,280.89600193296906,0.0,280949.89354665583,0.05,0.0010508492373926,0.0
202001,NON PRIME,2027-07-01,280949.89354665583,14047.494677332792,295.2359813790354,0.0,295292.6242053677,0.05,0.0010508492373926,0.0
202001,NON PRIME,2027-08-01,295292.6242053677,14764.631210268386,310.30802895387023,0.0,310367.5634445899,0.05,0.0010508492373926,0.0
202001,NON PRIME,2027-09-01,310367.5634445899,15518.378172229495,326.1495173571467,0.0,326212.0911341766,0.05,0.0010508492373926,0.0
202001,NON PRIME,2027-10-01,326212.0911341766,16310.60455670883,342.79972719659474,0.0,342865.495418082,0.05,0.0010508492373926,0.0
202001,NON PRIME,2027-11-01,342865.495418082,17143.2747709041,360.2999443883274,0.0,360369.0701333744,0.05,0.0010508492373926,0.0
202001,NON PRIME,2027-12-01,360369.0701333744,18018.45350666872,378.69356252953685,0.0,378766.2172025727,0.05,0.0010508492373926,0.0
202001,NRP-S,2025-10-01,4571.870000000001,-914.3740000000003,0.0,0.0,3657.4960000000005,-0.2,0.0,0.0
202001,NRP-S,2025-11-01,3657.4960000000005,-731.4992000000002,0.0,0.0,2925.9968000000003,-0.2,0.0,0.0
202001,NRP-S,2025-12-01,2925.9968000000003,-585.1993600000001,0.0,0.0,2340.7974400000003,-0.2,0.0,0.0
202001,NRP-S,2026-01-01,2340.7974400000003,-468.15948800000007,0.0,0.0,1872.6379520000003,-0.2,0.0,0.0
202001,NRP-S,2026-02-01,1872.6379520000003,-374.52759040000007,0.0,0.0,1498.1103616000003,-0.2,0.0,0.0
202001,NRP-S,2026-03-01,1498.1103616000003,-299.6220723200001,0.0,0.0,1198.4882892800001,-0.2,0.0,0.0
202001,NRP-S,2026-04-01,1198.4882892800001,-239.69765785600003,0.0,0.0,958.7906314240001,-0.2,0.0,0.0
202001,NRP-S,2026-05-01,958.7906314240001,-191.75812628480003,0.0,0.0,767.0325051392001,-0.2,0.0,0.0
202001,NRP-S,2026-06-01,767.0325051392001,-153.40650102784002,0.0,0.0,613.6260041113601,-0.2,0.0,0.0
202001,NRP-S,2026-07-01,613.6260041113601,-122.72520082227203,0.0,0.0,490.90080328908806,-0.2,0.0,0.0
202001,NRP-S,2026-08-01,490.90080328908806,-98.18016065781762,0.0,0.0,392.72064263127044,-0.2,0.0,0.0
202001,NRP-S,2026-09-01,392.72064263127044,-78.5441285262541,0.0,0.0,314.17651410501634,-0.2,0.0,0.0
202001,NRP-S,2026-10-01,314.17651410501634,-62.83530282100327,0.0,0.0,251.34121128401307,-0.2,0.0,0.0
202001,NRP-S,2026-11-01,251.34121128401307,-50.268242256802615,0.0,0.0,201.07296902721046,-0.2,0.0,0.0
202001,NRP-S,2026-12-01,201.07296902721046,-40.21459380544209,0.0,0.0,160.85837522176837,-0.2,0.0,0.0
202001,NRP-S,2027-01-01,160.85837522176837,-32.17167504435368,0.0,0.0,128.6867001774147,-0.2,0.0,0.0
202001,NRP-S,2027-02-01,128.6867001774147,-25.737340035482944,0.0,0.0,102.94936014193176,-0.2,0.0,0.0
202001,NRP-S,2027-03-01,102.94936014193176,-20.589872028386353,0.0,0.0,82.35948811354541,-0.2,0.0,0.0
202001,NRP-S,2027-04-01,82.35948811354541,-16.471897622709083,0.0,0.0,65.88759049083633,-0.2,0.0,0.0
202001,NRP-S,2027-05-01,65.88759049083633,-13.177518098167267,0.0,0.0,52.71007239266906,-0.2,0.0,0.0
202001,NRP-S,2027-06-01,52.71007239266906,-10.542014478533813,0.0,0.0,42.16805791413525,-0.2,0.0,0.0
202001,NRP-S,2027-07-01,42.16805791413525,-8.43361158282705,0.0,0.0,33.7344463313082,-0.2,0.0,0.0
202001,NRP-S,2027-08-01,33.7344463313082,-6.74688926626164,0.0,0.0,26.98755706504656,-0.2,0.0,0.0
202001,NRP-S,2027-09-01,26.98755706504656,-5.397511413009312,0.0,0.0,21.590045652037247,-0.2,0.0,0.0
202001,NRP-S,2027-10-01,21.590045652037247,-4.318009130407449,0.0,0.0,17.272036521629797,-0.2,0.0,0.0
202001,NRP-S,2027-11-01,17.272036521629797,-3.4544073043259598,0.0,0.0,13.817629217303837,-0.2,0.0,0.0
202001,NRP-S,2027-12-01,13.817629217303837,-2.7635258434607675,0.0,0.0,11.05410337384307,-0.2,0.0,0.0
202101,NON PRIME,2025-10-01,832148.8999999999,-13334.100790022494,-17895.195797989476,0.0,800919.6034119879,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2025-11-01,800919.6034119879,-12833.692043095041,-17223.616015722193,0.0,770862.2953531707,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2025-12-01,770862.2953531707,-12352.062883778694,-16577.239612565234,0.0,741932.9928568267,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2026-01-01,741932.9928568267,-11888.508542396641,-15955.120743608799,0.0,714089.3635708214,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2026-02-01,714089.3635708214,-11442.350698218012,-15356.349060079925,0.0,687290.6638125235,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2026-03-01,687290.6638125235,-11012.936486868703,-14780.048377225843,0.0,661497.678948429,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2026-04-01,661497.678948429,-10599.637544992602,-14225.37539218969,0.0,636672.6660112466,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2026-05-01,636672.6660112466,-10201.849090765238,-13691.51845000242,0.0,612779.298470479,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2026-06-01,612779.298470479,-9818.989038914364,-13177.696355885175,0.0,589782.6130756795,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2026-07-01,589782.6130756795,-9450.497148952489,-12683.15723212415,0.0,567648.958694603,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2026-08-01,567648.958694603,-9095.834205374966,-12207.177417845247,0.0,546345.9470713828,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2026-09-01,546345.9470713828,-8754.481228624005,-11749.060410078522,0.0,525842.4054326803,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2026-10-01,525842.4054326803,-8425.938715664026,-11308.13584456289,0.0,506108.33087245334,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2026-11-01,506108.33087245334,-8109.725909057077,-10883.75851479969,0.0,487114.84644859657,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2026-12-01,487114.84644859657,-7805.380093468751,-10475.30742791971,0.0,468834.1589272081,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2027-01-01,468834.1589272081,-7512.4559185751705,-10082.184895982085,0.0,451239.51811265084,-0.0160236957472665,-0.021504800160151,0.0
202101,NON PRIME,2027-02-01,451239.51811265084,-7230.524747380268,-9703.815661375394,0.0,434305.17770389514,-0.0160236957472665,-0.021504800160151,0.0
