ForecastMonth,Cohort,Segment,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,PQ_Revenue_Rate,v32_Revenue_Rate,ScenA_Revenue,ScenB_Revenue
2025-10-31,202409,NRP-L,604094.49,-11441.13,-9436.75,9173.06,0.0152260554162157,0.015184809912767123,9197.97618137056,9173.06
2025-10-31,202409,NRP-M,3038266.8,-103236.32,-47190.49,46592.2,0.0153020232471114,0.015335124617759046,46491.62920452676,46592.2
2025-10-31,202409,NRP-S,1203094.88,-70355.19,0.0,20335.81,0.0168704099210221,0.01690291458974541,20296.70379948289,20335.81
2025-10-31,202409,PRIME,10148.72,-449.93,-105.09,102.1,0.0100584740845944,0.010060381998912179,102.08063711180488,102.1
2025-10-31,202410,NON PRIME,3386607.26,-246168.04,-94915.45,89167.71,0.0232185452759837,0.026329510083197546,78632.0939982851,89167.71
2025-10-31,202410,NRP-L,463335.09,-6298.99,-6255.81,6867.36,0.0162671837927962,0.014821584093706349,7537.15706668177,6867.36
2025-10-31,202410,NRP-M,2948745.81,-78746.84,-44326.03,46010.25,0.014701083133057,0.015603328657209689,43349.7572910635,46010.25
2025-10-31,202410,NRP-S,1148959.12,-61807.43,0.0,20459.16,0.0170353264329407,0.017806690981311848,19572.893667304288,20459.16
2025-10-31,202411,NON PRIME,3628698.04,-251880.36,-84878.59,89667.7,0.0247877337506715,0.02471070863752554,89947.20087710352,89667.7
2025-10-31,202411,NRP-L,587145.59,-11180.01,-9223.79,8868.83,0.0141298462448368,0.015104992954132552,8296.276910033986,8868.83
2025-10-31,202411,NRP-M,3285945.9,-101616.16,-53310.84,51689.45,0.0156001288306386,0.015730462878284147,51261.1793705087,51689.45
2025-10-31,202411,NRP-S,1289490.97,-70663.67,0.0,23429.88,0.018017105117717,0.01816986744777282,23232.89435483686,23429.88
2025-10-31,202412,NON PRIME,3930024.39,-292231.31,-113762.89,107202.06,0.0248657154375268,0.027277708574220832,97722.86814427984,107202.06
2025-10-31,202412,NRP-L,52967.3,-2131.15,-730.4,812.06,0.0123839943284755,0.015331345943629369,655.9467427946604,812.06
2025-10-31,202412,NRP-M,2716445.11,-99673.56,-39619.79,42262.01,0.0151591788725611,0.01555783691134477,41179.07731998391,42262.01
2025-10-31,202412,NRP-S,1376252.91,-69412.46,0.0,24445.53,0.0177565367675234,0.017762382061012317,24437.48539782607,24445.53
2025-10-31,202501,NON PRIME,4363554.4,-287417.26,-131847.65,122598.7,0.0257099652366611,0.028096063154386248,112186.8319322796,122598.7
2025-10-31,202501,NRP-L,60436.42,-717.03,-892.06,958.41,0.0171340457193648,0.015858153080543155,1035.5203833947332,958.41
2025-10-31,202501,NRP-M,4943312.74,-114421.36,-79231.27,76865.69,0.0156697457214691,0.015549428903824523,77460.45365749869,76865.69
2025-10-31,202501,NRP-S,2185314.64,-124829.43,0.0,41560.59,0.0178913780974928,0.019018126378359868,39098.29048622637,41560.59
2025-10-31,202502,NON PRIME,5958651.75,-354251.6,-165645.15,160121.36,0.0272493175761933,0.02687207890610489,162369.19386168997,160121.36
2025-10-31,202502,NRP-L,127420.87,-2318.61,-2020.36,2009.44,0.0154953262642354,0.01577010108312712,1974.4279535227245,2009.44
2025-10-31,202502,NRP-M,5151310.04,-150380.02,-84764.11,82122.03,0.0157584011264097,0.01594196997701967,81176.4099368216,82122.03
2025-10-31,202502,NRP-S,2387772.21,-120403.59,0.0,44962.65,0.0178644610048735,0.018830376621227198,42656.26353406561,44962.65
